(0;0),0.0,9.561792499119553,18.209306240276913,26.029962661171957,33.10282414303197,39.49939328624637,45.284335760923895
(0;1),0.0,0.0,0.0,0.0,0.0,0.0,0.0
(0;2),0.0,6.84689218487417,14.510186940675899,21.686098457558355,28.366858973372356,35.12679797693509,41.147170046327346
(0;3),0.0,2.332428614280599,13.354217071345586,20.533585117079195,28.36037504059713,34.96089691936981,40.93250212593674
(0;4),0.0,2.332428614280599,14.388524732306154,22.344706332739598,29.64595101005825,36.249065870014824,42.22080458858383
(0;5),0.0,6.846892184874169,15.626148155656034,23.64146438381523,30.9427091147964,37.54582397475297,43.517562693321985
(1;0),0.0,7.287045298122789,16.601471390264642,24.42332134570629,31.49618564701253,37.89275479689816,43.67769727159147
(1;1),0.0,-1.1802292749800019,14.086888586899683,21.912967273869967,28.985841497785866,35.382410671139716,41.167353145888534
(1;2),0.0,5.115259636691325,13.419165216371761,20.664251679715054,27.672109233969046,34.09967202349466,40.10502483864673
(1;3),0.0,3.29842087411247,13.402199456809626,20.673663242175948,28.316697776558367,34.897220640373206,40.87016613259819
(1;4),0.0,0.0,0.0,0.0,0.0,0.0,0.0
(1;5),0.0,7.38317644919859,15.105319966479174,23.641464383768128,30.9427091147964,37.54582397475297,43.517562693321985
(2;0),0.0,5.410339842099858,15.152371384291705,22.97845007076231,30.05132429467821,36.447893468032056,42.23283594278088
(2;1),0.0,-0.6275268876960752,13.781016165858226,21.61635534292825,28.689251811606237,35.085821037611176,40.870763512484565
(2;2),0.0,2.791262977950167,11.436062308081011,19.338730869797377,26.39995374431081,32.79904814098222,38.60445842257843
(2;3),0.0,2.6826927099613904,12.184026728032407,19.605537376846772,27.089189540665863,33.65317111994304,39.60727488494553
(2;4),0.0,2.139550912294751,12.433011044971146,20.72706505254707,28.02839385578363,34.63089534891544,40.60209690095205
(2;5),0.0,6.12128160379727,13.753504403407502,22.1668953679929,29.468206975188473,36.071272913005785,42.04294922666475
(3;0),0.0,3.8500688564049694,13.74633814782506,21.583761752913922,28.656663149860677,35.05323238752032,40.83817486242128
(3;1),0.0,-0.4242586833836281,12.628644348701947,20.482377828371252,27.555317759230856,33.95188708801597,39.73682956313251
(3;2),0.0,1.7967428439117195,10.491676018958858,19.264603097985475,26.335702337626476,32.73247468443674,38.51947196400883
(3;3),0.0,1.1181500644445812,10.035933443957488,17.651825907793693,25.0223720899241,31.57258134119371,37.5097570130168
(3;4),0.0,1.8724977556423534,11.174951915308023,19.417252033078146,26.72041885715062,33.31781382133171,39.285435678440884
(3;5),0.0,4.979850160198387,12.43301104522802,20.727065052547065,28.02839385578363,34.63089534891544,40.60209690095205
(4;0),0.0,2.8773734360440644,12.483632893825954,20.342391063218045,27.415343339688302,33.811912697690076,39.59685517287574
(4;1),0.0,0.0,0.0,0.0,0.0,0.0,0.0
(4;2),0.0,0.0,0.0,0.0,0.0,0.0,0.0
(4;3),0.0,0.0,0.0,0.0,0.0,0.0,0.0
(4;4),0.0,0.5264851740058121,8.968357232483909,17.22606328712659,24.52593154420565,31.12421330760648,37.09200646301217
(4;5),0.0,3.8254247077850594,11.0375010366702,19.219870424709246,26.521496598919573,33.1237944218494,39.09457534702707
(5;0),0.0,1.806783903713375,11.039351481102335,18.96711943373316,26.040297693942062,32.43686760142511,38.22181007791415
(5;1),0.0,-0.1183404952782402,9.72339086397348,17.758025676054277,24.831600032322566,31.228170911867515,37.01311339066435
(5;2),0.0,-0.4518933842979634,8.348303634720333,16.563515123185347,23.637972164375196,30.034545250376393,35.8194877344206
(5;3),0.0,-0.5517707347985967,7.660350406018925,15.419378178687262,22.76738451482634,29.372493276659718,35.34274516337034
(5;4),0.0,0.24335966853697602,8.73164038425873,16.66005063668974,23.978594525526372,30.582219032050585,36.55252609865144
(5;5),0.0,2.780584678292232,9.792444117450911,17.827439604068324,25.136452262094064,31.7394709032759,37.71015673983608
